+-----------+---------+-----------------+--------------+-------------+--------------+-------------+------------+
|  caching  | machine |     device      |    master    |   melanie   |    thomas    | melanie_pct | thomas_pct |
+-----------+---------+-----------------+--------------+-------------+--------------+-------------+------------+
| cached    | 0   | 512      | ryzen   | raid-sata       | 1168.8635   | 1104.6545   | 1102.1225  | 94          | 94         |
| cached    | 0   | 512      | xeon    | samsung-990-pro | 2141.162    | 2077.3115   | 2083.717   | 97          | 97         |
| cached    | 0   | 512      | xeon    | wd-sn640        | 2131.7295   | 2071.6265   | 2067.0935  | 97          | 96         |
| cached    | 0   | 1024     | ryzen   | nvme            | 1574.8505   | 1504.5975   | 1440.708   | 95          | 91         |
| cached    | 0   | 1024     | ryzen   | raid-nvme       | 1587.037    | 1508.948    | 1444.446   | 95          | 91         |
| cached    | 0   | 1024     | ryzen   | raid-sata       | 1582.5455   | 1501.034    | 1434.256   | 94          | 90         |
| cached    | 0   | 1024     | xeon    | samsung-990-pro | 2892.737    | 2821.6775   | 2742.2425  | 97          | 94         |
| cached    | 0   | 1024     | xeon    | wd-sn640        | 2898.21     | 2835.9215   | 2743.217   | 97          | 94         |
| cached    | 0   | 2048     | ryzen   | nvme            | 1958.2515   | 1873.681    | 1752.382   | 95          | 89         |
| cached    | 0   | 2048     | ryzen   | raid-nvme       | 1967.526    | 1894.5995   | 1761.149   | 96          | 89         |
| cached    | 0   | 2048     | ryzen   | raid-sata       | 1965.711    | 1875.9645   | 1756.6635  | 95          | 89         |
| cached    | 0   | 2048     | xeon    | samsung-990-pro | 3702.6575   | 3636.847    | 3455.772   | 98          | 93         |
| cached    | 0   | 2048     | xeon    | wd-sn640        | 3674.666    | 3631.6625   | 3418.707   | 98          | 93         |
| cached    | 0   | 4048     | ryzen   | nvme            | 1255.2325   | 1250.4955   | 1245.5455  | 99          | 99         |
| cached    | 0   | 4048     | ryzen   | raid-nvme       | 1262.1445   | 1256.6875   | 1255.2675  | 99          | 99         |
| cached    | 0   | 4048     | ryzen   | raid-sata       | 1253.1745   | 1260.0225   | 1257.9085  | 100         | 100        |
| cached    | 0   | 4048     | xeon    | samsung-990-pro | 2488.88     | 2505.684    | 2522.6215  | 100         | 101        |
| cached    | 0   | 4048     | xeon    | wd-sn640        | 2485.088    | 2510.7725   | 2514.946   | 101         | 101        |
| cached    | 1   | 2        | ryzen   | nvme            | 176.803     | 155.616     | 172.5635   | 88          | 97         |
| cached    | 1   | 2        | ryzen   | raid-nvme       | 181.403     | 174.09      | 176.196    | 95          | 97         |
| cached    | 1   | 2        | ryzen   | raid-sata       | 176.947     | 178.639     | 179.394    | 100         | 101        |
| cached    | 1   | 2        | xeon    | samsung-990-pro | 424.4945    | 405.304     | 426.1425   | 95          | 100        |
| cached    | 1   | 2        | xeon    | wd-sn640        | 395.5025    | 403.6875    | 413.1845   | 102         | 104        |
| cached    | 1   | 4        | ryzen   | nvme            | 298.9525    | 282.0455    | 272.006    | 94          | 90         |
| cached    | 1   | 4        | ryzen   | raid-nvme       | 299.838     | 282.0445    | 270.584    | 94          | 90         |
| cached    | 1   | 4        | ryzen   | raid-sata       | 298.005     | 281.09      | 269.9975   | 94          | 90         |
| cached    | 1   | 4        | xeon    | samsung-990-pro | 720.1405    | 690.3235    | 667.7865   | 95          | 92         |
| cached    | 1   | 4        | xeon    | wd-sn640        | 724.724     | 688.0265    | 664.183    | 94          | 91         |
| cached    | 1   | 8        | ryzen   | nvme            | 530.8885    | 500.372     | 482.8245   | 94          | 90         |
| cached    | 1   | 8        | ryzen   | raid-nvme       | 531.7545    | 500.017     | 480.212    | 94          | 90         |
| cached    | 1   | 8        | ryzen   | raid-sata       | 532.3795    | 499.54      | 484.1025   | 93          | 90         |
| cached    | 1   | 8        | xeon    | samsung-990-pro | 1216.422    | 1156.535    | 1116.9305  | 95          | 91         |
| cached    | 1   | 8        | xeon    | wd-sn640        | 1214.23     | 1155.756    | 1113.357   | 95          | 91         |
| cached    | 1   | 16       | ryzen   | nvme            | 1017.588    | 968.485     | 933.9635   | 95          | 91         |
| cached    | 1   | 16       | ryzen   | raid-nvme       | 1013.4275   | 962.258     | 924.8285   | 94          | 91         |
| cached    | 1   | 16       | ryzen   | raid-sata       | 1018.994    | 969.587     | 933.8765   | 95          | 91         |
| cached    | 1   | 16       | xeon    | samsung-990-pro | 2331.569    | 2231.4865   | 2165.2815  | 95          | 92         |
| cached    | 1   | 16       | xeon    | wd-sn640        | 2354.725    | 2228.3945   | 2159.616   | 94          | 91         |
| cached    | 1   | 32       | ryzen   | nvme            | 1037.7645   | 1036.0715   | 1031.766   | 99          | 99         |
| cached    | 1   | 32       | ryzen   | raid-nvme       | 1037.0795   | 1027.899    | 1020.027   | 99          | 98         |
| cached    | 1   | 32       | ryzen   | raid-sata       | 1036.955    | 1038.5965   | 1025.484   | 100         | 98         |
| cached    | 1   | 32       | xeon    | samsung-990-pro | 2364.896    | 2305.1045   | 2335.8385  | 97          | 98         |
| cached    | 1   | 32       | xeon    | wd-sn640        | 2344.9      | 2321.624    | 2307.427   | 99          | 98         |
| cached    | 1   | 64       | ryzen   | nvme            | 241.416     | 224.821     | 226.067    | 93          | 93         |
| cached    | 1   | 64       | ryzen   | raid-nvme       | 236.967     | 223.128     | 224.9475   | 94          | 94         |
| cached    | 1   | 64       | ryzen   | raid-sata       | 237.861     | 223.8545    | 227.9575   | 94          | 95         |
| cached    | 1   | 64       | xeon    | samsung-990-pro | 487.1855    | 456.202     | 464.7825   | 93          | 95         |
| cached    | 1   | 64       | xeon    | wd-sn640        | 479.4485    | 449.2825    | 456.7395   | 93          | 95         |
| cached    | 1   | 128      | ryzen   | nvme            | 630.455     | 596.962     | 608.306    | 94          | 96         |
| cached    | 1   | 128      | ryzen   | raid-nvme       | 631.055     | 605.243     | 606.3585   | 95          | 96         |
| cached    | 1   | 128      | ryzen   | raid-sata       | 632.9295    | 601.182     | 605.1745   | 94          | 95         |
| cached    | 1   | 128      | xeon    | samsung-990-pro | 1269.551    | 1193.273    | 1211.7535  | 93          | 95         |
| cached    | 1   | 128      | xeon    | wd-sn640        | 1286.154    | 1210.452    | 1232.9975  | 94          | 95         |
| cached    | 1   | 256      | ryzen   | nvme            | 1214.091    | 1140.9745   | 1149.423   | 93          | 94         |
| cached    | 1   | 256      | ryzen   | raid-nvme       | 1191.968    | 1143.696    | 1143.7475  | 95          | 95         |
| cached    | 1   | 256      | ryzen   | raid-sata       | 1195.347    | 1131.7055   | 1153.5415  | 94          | 96         |
| cached    | 1   | 256      | xeon    | samsung-990-pro | 2340.0085   | 2198.2075   | 2243.0585  | 93          | 95         |
| cached    | 1   | 256      | xeon    | wd-sn640        | 2336.778    | 2201.954    | 2243.979   | 94          | 96         |
| cached    | 1   | 512      | ryzen   | nvme            | 1214.394    | 1110.6205   | 1093.2685  | 91          | 90         |
| cached    | 1   | 512      | ryzen   | raid-nvme       | 1216.8895   | 1114.3765   | 1095.563   | 91          | 90         |
| cached    | 1   | 512      | ryzen   | raid-sata       | 1230.5785   | 1113.8125   | 1096.4375  | 90          | 89         |
| cached    | 1   | 512      | xeon    | samsung-990-pro | 2212.478    | 2084.9805   | 2071.213   | 94          | 93         |
| cached    | 1   | 512      | xeon    | wd-sn640        | 2222.0325   | 2078.269    | 2091.178   | 93          | 94         |
| cached    | 1   | 1024     | ryzen   | nvme            | 1665.623    | 1515.5305   | 1442.121   | 90          | 86         |
| cached    | 1   | 1024     | ryzen   | raid-nvme       | 1670.398    | 1515.45     | 1446.454   | 90          | 86         |
| cached    | 1   | 1024     | ryzen   | raid-sata       | 1670.9225   | 1515.06     | 1444.921   | 90          | 86         |
| cached    | 1   | 1024     | xeon    | samsung-990-pro | 3026.6925   | 2831.896    | 2755.8315  | 93          | 91         |
| cached    | 1   | 1024     | xeon    | wd-sn640        | 3015.444    | 2830.195    | 2765.915   | 93          | 91         |
| cached    | 1   | 2048     | ryzen   | nvme            | 2050.3975   | 1884.986    | 1752.0635  | 91          | 85         |
| cached    | 1   | 2048     | ryzen   | raid-nvme       | 2053.919    | 1898.985    | 1760.2195  | 92          | 85         |
| cached    | 1   | 2048     | ryzen   | raid-sata       | 2056.821    | 1892.7435   | 1757.7205  | 92          | 85         |
| cached    | 1   | 2048     | xeon    | samsung-990-pro | 3846.818    | 3639.464    | 3439.9515  | 94          | 89         |
| cached    | 1   | 2048     | xeon    | wd-sn640        | 3841.4325   | 3638.8235   | 3447.36    | 94          | 89         |
| cached    | 1   | 4048     | ryzen   | nvme            | 1316.14     | 1264.0905   | 1250.8725  | 96          | 95         |
| cached    | 1   | 4048     | ryzen   | raid-nvme       | 1299.625    | 1264.197    | 1251.149   | 97          | 96         |
| cached    | 1   | 4048     | ryzen   | raid-sata       | 1309.259    | 1252.9745   | 1259.996   | 95          | 96         |
| cached    | 1   | 4048     | xeon    | samsung-990-pro | 2544.958    | 2537.8885   | 2537.9335  | 99          | 99         |
| cached    | 1   | 4048     | xeon    | wd-sn640        | 2608.097    | 2525.01     | 2548.3255  | 96          | 97         |
| cached    | 8   | 2        | ryzen   | nvme            | 166.497     | 158.0905    | 160.223    | 94          | 96         |
| cached    | 8   | 2        | ryzen   | raid-nvme       | 177.4935    | 164.525     | 177.514    | 92          | 100        |
| cached    | 8   | 2        | ryzen   | raid-sata       | 174.9845    | 168.983     | 166.654    | 96          | 95         |
| cached    | 8   | 2        | xeon    | samsung-990-pro | 426.505     | 411.409     | 422.989    | 96          | 99         |
| cached    | 8   | 2        | xeon    | wd-sn640        | 398.1655    | 399.3545    | 407.4985   | 100         | 102        |
| cached    | 8   | 4        | ryzen   | nvme            | 297.676     | 282.4995    | 273.078    | 94          | 91         |
| cached    | 8   | 4        | ryzen   | raid-nvme       | 299.392     | 282.0445    | 270.258    | 94          | 90         |
| cached    | 8   | 4        | ryzen   | raid-sata       | 298.922     | 280.627     | 271.5485   | 93          | 90         |
| cached    | 8   | 4        | xeon    | samsung-990-pro | 721.702     | 690.8395    | 665.3375   | 95          | 92         |
| cached    | 8   | 4        | xeon    | wd-sn640        | 727.5565    | 690.495     | 663.2075   | 94          | 91         |
| cached    | 8   | 8        | ryzen   | nvme            | 528.8355    | 500.9945    | 483.7725   | 94          | 91         |
| cached    | 8   | 8        | ryzen   | raid-nvme       | 532.5025    | 502.184     | 480.7535   | 94          | 90         |
| cached    | 8   | 8        | ryzen   | raid-sata       | 531.5015    | 503.099     | 482.9705   | 94          | 90         |
| cached    | 8   | 8        | xeon    | samsung-990-pro | 1218.5335   | 1154.8005   | 1113.8735  | 94          | 91         |
| cached    | 8   | 8        | xeon    | wd-sn640        | 1224.544    | 1156.7165   | 1116.285   | 94          | 91         |
| cached    | 8   | 16       | ryzen   | nvme            | 1017.109    | 965.5805    | 936.316    | 94          | 92         |
| cached    | 8   | 16       | ryzen   | raid-nvme       | 1016.018    | 961.338     | 921.6395   | 94          | 90         |
| cached    | 8   | 16       | ryzen   | raid-sata       | 1024.5945   | 969.18      | 932.773    | 94          | 91         |
| cached    | 8   | 16       | xeon    | samsung-990-pro | 2346.668    | 2233.0915   | 2166.877   | 95          | 92         |
| cached    | 8   | 16       | xeon    | wd-sn640        | 2349.878    | 2236.9615   | 2161.066   | 95          | 91         |
| cached    | 8   | 32       | ryzen   | nvme            | 1039.483    | 1035.7995   | 1030.751   | 99          | 99         |
| cached    | 8   | 32       | ryzen   | raid-nvme       | 1039.2885   | 1040.067    | 1022.123   | 100         | 98         |
| cached    | 8   | 32       | ryzen   | raid-sata       | 1038.3475   | 1034.3665   | 1035.214   | 99          | 99         |
| cached    | 8   | 32       | xeon    | samsung-990-pro | 2365.94     | 2306.766    | 2330.6205  | 97          | 98         |
| cached    | 8   | 32       | xeon    | wd-sn640        | 2360.7675   | 2310.136    | 2319.125   | 97          | 98         |
| cached    | 8   | 64       | ryzen   | nvme            | 239.3445    | 223.264     | 224.9115   | 93          | 93         |
| cached    | 8   | 64       | ryzen   | raid-nvme       | 237.105     | 223.65      | 224.9105   | 94          | 94         |
| cached    | 8   | 64       | ryzen   | raid-sata       | 240.2345    | 225.534     | 226.3875   | 93          | 94         |
| cached    | 8   | 64       | xeon    | samsung-990-pro | 488.3075    | 457.8225    | 461.142    | 93          | 94         |
| cached    | 8   | 64       | xeon    | wd-sn640        | 480.861     | 450.3195    | 456.3295   | 93          | 94         |
| cached    | 8   | 128      | ryzen   | nvme            | 642.191     | 603.957     | 609.4675   | 94          | 94         |
| cached    | 8   | 128      | ryzen   | raid-nvme       | 641.662     | 606.864     | 611.0605   | 94          | 95         |
| cached    | 8   | 128      | ryzen   | raid-sata       | 641.8315    | 601.263     | 606.749    | 93          | 94         |
| cached    | 8   | 128      | xeon    | samsung-990-pro | 1272.7205   | 1191.4895   | 1217.4285  | 93          | 95         |
| cached    | 8   | 128      | xeon    | wd-sn640        | 1289.858    | 1214.0745   | 1231.9795  | 94          | 95         |
| cached    | 8   | 256      | ryzen   | nvme            | 1206.431    | 1158.9385   | 1164.6705  | 96          | 96         |
| cached    | 8   | 256      | ryzen   | raid-nvme       | 1206.578    | 1166.1215   | 1157.9945  | 96          | 95         |
| cached    | 8   | 256      | ryzen   | raid-sata       | 1201.3895   | 1156.5115   | 1164.898   | 96          | 96         |
| cached    | 8   | 256      | xeon    | samsung-990-pro | 2349.133    | 2196.5165   | 2263.324   | 93          | 96         |
| cached    | 8   | 256      | xeon    | wd-sn640        | 2351.0665   | 2196.0235   | 2242.9055  | 93          | 95         |
| cached    | 8   | 512      | ryzen   | nvme            | 1213.316    | 1126.931    | 1102.515   | 92          | 90         |
| cached    | 8   | 512      | ryzen   | raid-nvme       | 1209.9425   | 1119.5615   | 1102.135   | 92          | 91         |
| cached    | 8   | 512      | ryzen   | raid-sata       | 1226.0635   | 1124.116    | 1094.4855  | 91          | 89         |
| cached    | 8   | 512      | xeon    | samsung-990-pro | 2241.1435   | 2087.224    | 2084.6585  | 93          | 93         |
| cached    | 8   | 512      | xeon    | wd-sn640        | 2221.352    | 2108.718    | 2108.428   | 94          | 94         |
| cached    | 8   | 1024     | ryzen   | nvme            | 1651.8685   | 1507.047    | 1457.7395  | 91          | 88         |
| cached    | 8   | 1024     | ryzen   | raid-nvme       | 1668.9525   | 1528.489    | 1463.8095  | 91          | 87         |
| cached    | 8   | 1024     | ryzen   | raid-sata       | 1660.069    | 1523.6235   | 1444.4295  | 91          | 87         |
| cached    | 8   | 1024     | xeon    | samsung-990-pro | 3026.2905   | 2848.2715   | 2747.466   | 94          | 90         |
| cached    | 8   | 1024     | xeon    | wd-sn640        | 3031.078    | 2829.9595   | 2766.445   | 93          | 91         |
| cached    | 8   | 2048     | ryzen   | nvme            | 2056.717    | 1892.4035   | 1753.567   | 92          | 85         |
| cached    | 8   | 2048     | ryzen   | raid-nvme       | 2059.3635   | 1890.0665   | 1753.6315  | 91          | 85         |
| cached    | 8   | 2048     | ryzen   | raid-sata       | 2044.6095   | 1895.729    | 1765.307   | 92          | 86         |
| cached    | 8   | 2048     | xeon    | samsung-990-pro | 3864.7685   | 3630.38     | 3444.637   | 93          | 89         |
| cached    | 8   | 2048     | xeon    | wd-sn640        | 3855.3555   | 3634.111    | 3422.454   | 94          | 88         |
| cached    | 8   | 4048     | ryzen   | nvme            | 1327.535    | 1269.3005   | 1261.2435  | 95          | 95         |
| cached    | 8   | 4048     | ryzen   | raid-nvme       | 1325.405    | 1281.576    | 1263.365   | 96          | 95         |
| cached    | 8   | 4048     | ryzen   | raid-sata       | 1330.0375   | 1266.803    | 1258.8705  | 95          | 94         |
| cached    | 8   | 4048     | xeon    | samsung-990-pro | 2566.5225   | 2510.738    | 2521.835   | 97          | 98         |
| cached    | 8   | 4048     | xeon    | wd-sn640        | 2591.8825   | 2514.758    | 2556.0805  | 97          | 98         |
| cached    | 16  | 2        | ryzen   | nvme            | 163.7475    | 158.181     | 172.0165   | 96          | 105        |
| cached    | 16  | 2        | ryzen   | raid-nvme       | 172.0125    | 172.6405    | 168.6915   | 100         | 98         |
| cached    | 16  | 2        | ryzen   | raid-sata       | 177.936     | 175.2235    | 174.814    | 98          | 98         |
| cached    | 16  | 2        | xeon    | samsung-990-pro | 418.942     | 439.229     | 408.1035   | 104         | 97         |
| cached    | 16  | 2        | xeon    | wd-sn640        | 397.2755    | 389.238     | 407.864    | 97          | 102        |
| cached    | 16  | 4        | ryzen   | nvme            | 298.6165    | 282.843     | 271.899    | 94          | 91         |
| cached    | 16  | 4        | ryzen   | raid-nvme       | 300.6675    | 283.1395    | 272.7975   | 94          | 90         |
| cached    | 16  | 4        | ryzen   | raid-sata       | 298.679     | 282.1705    | 270.363    | 94          | 90         |
| cached    | 16  | 4        | xeon    | samsung-990-pro | 724.0245    | 688.131     | 668.184    | 95          | 92         |
| cached    | 16  | 4        | xeon    | wd-sn640        | 719.658     | 683.4665    | 668.173    | 94          | 92         |
| cached    | 16  | 8        | ryzen   | nvme            | 533.2965    | 503.0945    | 481.2865   | 94          | 90         |
| cached    | 16  | 8        | ryzen   | raid-nvme       | 530.905     | 499.2355    | 484.327    | 94          | 91         |
| cached    | 16  | 8        | ryzen   | raid-sata       | 531.9275    | 501.888     | 481.1675   | 94          | 90         |
| cached    | 16  | 8        | xeon    | samsung-990-pro | 1221.0065   | 1158.8885   | 1114.497   | 94          | 91         |
| cached    | 16  | 8        | xeon    | wd-sn640        | 1220.7015   | 1159.34     | 1117.405   | 94          | 91         |
| cached    | 16  | 16       | ryzen   | nvme            | 1023.2145   | 967.9745    | 933.7955   | 94          | 91         |
| cached    | 16  | 16       | ryzen   | raid-nvme       | 1016.4935   | 961.3265    | 925.5855   | 94          | 91         |
| cached    | 16  | 16       | ryzen   | raid-sata       | 1024.056    | 971.1805    | 927.7325   | 94          | 90         |
| cached    | 16  | 16       | xeon    | samsung-990-pro | 2353.6685   | 2221.4355   | 2163.144   | 94          | 91         |
| cached    | 16  | 16       | xeon    | wd-sn640        | 2344.75     | 2231.153    | 2164.389   | 95          | 92         |
| cached    | 16  | 32       | ryzen   | nvme            | 1046.333    | 1052.1985   | 1032.571   | 100         | 98         |
| cached    | 16  | 32       | ryzen   | raid-nvme       | 1040.612    | 1034.4095   | 1034.4815  | 99          | 99         |
| cached    | 16  | 32       | ryzen   | raid-sata       | 1042.309    | 1037.149    | 1039.5255  | 99          | 99         |
| cached    | 16  | 32       | xeon    | samsung-990-pro | 2363.104    | 2312.5485   | 2326.625   | 97          | 98         |
| cached    | 16  | 32       | xeon    | wd-sn640        | 2362.266    | 2319.8945   | 2327.2755  | 98          | 98         |
| cached    | 16  | 64       | ryzen   | nvme            | 237.335     | 223.1555    | 225.81     | 94          | 95         |
| cached    | 16  | 64       | ryzen   | raid-nvme       | 237.2705    | 223.3215    | 224.11     | 94          | 94         |
| cached    | 16  | 64       | ryzen   | raid-sata       | 238.4325    | 225.0275    | 227.6615   | 94          | 95         |
| cached    | 16  | 64       | xeon    | samsung-990-pro | 490.372     | 457.095     | 463.5495   | 93          | 94         |
| cached    | 16  | 64       | xeon    | wd-sn640        | 481.3475    | 451.586     | 456.1005   | 93          | 94         |
| cached    | 16  | 128      | ryzen   | nvme            | 637.4775    | 607.785     | 613.38     | 95          | 96         |
| cached    | 16  | 128      | ryzen   | raid-nvme       | 645.459     | 613.2545    | 614.9115   | 95          | 95         |
| cached    | 16  | 128      | ryzen   | raid-sata       | 637.778     | 607.259     | 613.479    | 95          | 96         |
| cached    | 16  | 128      | xeon    | samsung-990-pro | 1275.8765   | 1197.31     | 1216.477   | 93          | 95         |
| cached    | 16  | 128      | xeon    | wd-sn640        | 1291.7215   | 1212.052    | 1231.775   | 93          | 95         |
| cached    | 16  | 256      | ryzen   | nvme            | 1205.0255   | 1171.0405   | 1173.675   | 97          | 97         |
| cached    | 16  | 256      | ryzen   | raid-nvme       | 1211.898    | 1168.8965   | 1168.2855  | 96          | 96         |
| cached    | 16  | 256      | ryzen   | raid-sata       | 1208.0295   | 1150.7275   | 1179.147   | 95          | 97         |
| cached    | 16  | 256      | xeon    | samsung-990-pro | 2364.68     | 2198.536    | 2246.9335  | 92          | 95         |
| cached    | 16  | 256      | xeon    | wd-sn640        | 2349.1      | 2193.5155   | 2258.4985  | 93          | 96         |
| cached    | 16  | 512      | ryzen   | nvme            | 1214.8445   | 1122.629    | 1107.3355  | 92          | 91         |
| cached    | 16  | 512      | ryzen   | raid-nvme       | 1218.2725   | 1121.447    | 1102.521   | 92          | 90         |
| cached    | 16  | 512      | ryzen   | raid-sata       | 1220.637    | 1119.3955   | 1107.049   | 91          | 90         |
| cached    | 16  | 512      | xeon    | samsung-990-pro | 2239.4685   | 2093.47     | 2103.817   | 93          | 93         |
| cached    | 16  | 512      | xeon    | wd-sn640        | 2229.678    | 2090.648    | 2078.7715  | 93          | 93         |
| cached    | 16  | 1024     | ryzen   | nvme            | 1655.9745   | 1523.2155   | 1448.3425  | 91          | 87         |
| cached    | 16  | 1024     | ryzen   | raid-nvme       | 1666.0855   | 1517.169    | 1458.342   | 91          | 87         |
| cached    | 16  | 1024     | ryzen   | raid-sata       | 1658.5905   | 1524.4345   | 1451.009   | 91          | 87         |
| cached    | 16  | 1024     | xeon    | samsung-990-pro | 3034.877    | 2842.801    | 2780.6285  | 93          | 91         |
| cached    | 16  | 1024     | xeon    | wd-sn640        | 3032.991    | 2831.642    | 2756.217   | 93          | 90         |
| cached    | 16  | 2048     | ryzen   | nvme            | 2057.3005   | 1885.7995   | 1753.825   | 91          | 85         |
| cached    | 16  | 2048     | ryzen   | raid-nvme       | 2049.0445   | 1893.6705   | 1773.954   | 92          | 86         |
| cached    | 16  | 2048     | ryzen   | raid-sata       | 2045.4625   | 1894.128    | 1769.6825  | 92          | 86         |
| cached    | 16  | 2048     | xeon    | samsung-990-pro | 3869.805    | 3637.293    | 3433.1815  | 93          | 88         |
| cached    | 16  | 2048     | xeon    | wd-sn640        | 3868.1765   | 3651.786    | 3431.8695  | 94          | 88         |
| cached    | 16  | 4048     | ryzen   | nvme            | 1324.933    | 1281.607    | 1273.8805  | 96          | 96         |
| cached    | 16  | 4048     | ryzen   | raid-nvme       | 1327.151    | 1269.8505   | 1257.8355  | 95          | 94         |
| cached    | 16  | 4048     | ryzen   | raid-sata       | 1325.907    | 1282.353    | 1264.5295  | 96          | 95         |
| cached    | 16  | 4048     | xeon    | samsung-990-pro | 2576.9605   | 2573.3285   | 2536.6755  | 99          | 98         |
| cached    | 16  | 4048     | xeon    | wd-sn640        | 2566.619    | 2513.735    | 2536.549   | 97          | 98         |
| cached    | 32  | 2        | ryzen   | nvme            | 165.011     | 159.107     | 168.327    | 96          | 102        |
| cached    | 32  | 2        | ryzen   | raid-nvme       | 178.76      | 169.7225    | 178.5865   | 94          | 99         |
| cached    | 32  | 2        | ryzen   | raid-sata       | 173.5395    | 176.5335    | 174.7395   | 101         | 100        |
| cached    | 32  | 2        | xeon    | samsung-990-pro | 435.7125    | 390.8855    | 425.0465   | 89          | 97         |
| cached    | 32  | 2        | xeon    | wd-sn640        | 389.3465    | 407.5325    | 408.6205   | 104         | 104        |
| cached    | 32  | 4        | ryzen   | nvme            | 299.138     | 283.267     | 271.13     | 94          | 90         |
| cached    | 32  | 4        | ryzen   | raid-nvme       | 298.8565    | 282.9705    | 273.924    | 94          | 91         |
| cached    | 32  | 4        | ryzen   | raid-sata       | 298.897     | 282.549     | 270.8885   | 94          | 90         |
| cached    | 32  | 4        | xeon    | samsung-990-pro | 724.6385    | 689.038     | 667.6145   | 95          | 92         |
| cached    | 32  | 4        | xeon    | wd-sn640        | 721.097     | 687.4425    | 671.9545   | 95          | 93         |
| cached    | 32  | 8        | ryzen   | nvme            | 530.049     | 499.2505    | 482.752    | 94          | 91         |
| cached    | 32  | 8        | ryzen   | raid-nvme       | 530.102     | 502.6045    | 482.54     | 94          | 91         |
| cached    | 32  | 8        | ryzen   | raid-sata       | 529.8935    | 501.669     | 483.4155   | 94          | 91         |
| cached    | 32  | 8        | xeon    | samsung-990-pro | 1217.8825   | 1157.404    | 1116.5055  | 95          | 91         |
| cached    | 32  | 8        | xeon    | wd-sn640        | 1221.2995   | 1157.415    | 1114.6845  | 94          | 91         |
| cached    | 32  | 16       | ryzen   | nvme            | 1008.469    | 962.013     | 933.343    | 95          | 92         |
| cached    | 32  | 16       | ryzen   | raid-nvme       | 1011.6495   | 961.753     | 931.9295   | 95          | 92         |
| cached    | 32  | 16       | ryzen   | raid-sata       | 1018.255    | 969.4985    | 930.8945   | 95          | 91         |
| cached    | 32  | 16       | xeon    | samsung-990-pro | 2347.536    | 2226.5885   | 2165.735   | 94          | 92         |
| cached    | 32  | 16       | xeon    | wd-sn640        | 2347.5065   | 2233.299    | 2168.6905  | 95          | 92         |
| cached    | 32  | 32       | ryzen   | nvme            | 1047.1335   | 1038.1295   | 1037.612   | 99          | 99         |
| cached    | 32  | 32       | ryzen   | raid-nvme       | 1039.7605   | 1033.8185   | 1030.5985  | 99          | 99         |
| cached    | 32  | 32       | ryzen   | raid-sata       | 1042.0715   | 1034.0855   | 1037.6295  | 99          | 99         |
| cached    | 32  | 32       | xeon    | samsung-990-pro | 2380.5065   | 2319.2865   | 2325.6575  | 97          | 97         |
| cached    | 32  | 32       | xeon    | wd-sn640        | 2390.951    | 2316.3505   | 2318.918   | 96          | 96         |
| cached    | 32  | 64       | ryzen   | nvme            | 237.865     | 225.5565    | 226.783    | 94          | 95         |
| cached    | 32  | 64       | ryzen   | raid-nvme       | 236.2115    | 225.0905    | 225.2205   | 95          | 95         |
| cached    | 32  | 64       | ryzen   | raid-sata       | 238.4645    | 226.47      | 227.124    | 94          | 95         |
| cached    | 32  | 64       | xeon    | samsung-990-pro | 492.9525    | 458.2925    | 463.933    | 92          | 94         |
| cached    | 32  | 64       | xeon    | wd-sn640        | 482.2955    | 449.709     | 459.2055   | 93          | 95         |
| cached    | 32  | 128      | ryzen   | nvme            | 635.957     | 604.755     | 602.807    | 95          | 94         |
| cached    | 32  | 128      | ryzen   | raid-nvme       | 641.4225    | 613.069     | 610.6675   | 95          | 95         |
| cached    | 32  | 128      | ryzen   | raid-sata       | 640.38      | 609.808     | 612.6985   | 95          | 95         |
| cached    | 32  | 128      | xeon    | samsung-990-pro | 1276.384    | 1194.9535   | 1218.428   | 93          | 95         |
| cached    | 32  | 128      | xeon    | wd-sn640        | 1293.047    | 1216.916    | 1235.5995  | 94          | 95         |
| cached    | 32  | 256      | ryzen   | nvme            | 1210.106    | 1173.1045   | 1178.056   | 96          | 97         |
| cached    | 32  | 256      | ryzen   | raid-nvme       | 1196.837    | 1168.802    | 1162.974   | 97          | 97         |
| cached    | 32  | 256      | ryzen   | raid-sata       | 1218.543    | 1143.0065   | 1163.051   | 93          | 95         |
| cached    | 32  | 256      | xeon    | samsung-990-pro | 2353.102    | 2192.2655   | 2227.5625  | 93          | 94         |
| cached    | 32  | 256      | xeon    | wd-sn640        | 2359.273    | 2192.9915   | 2238.9805  | 92          | 94         |
| cached    | 32  | 512      | ryzen   | nvme            | 1223.9595   | 1123.5275   | 1103.7345  | 91          | 90         |
| cached    | 32  | 512      | ryzen   | raid-nvme       | 1219.15     | 1127.673    | 1109.284   | 92          | 90         |
| cached    | 32  | 512      | ryzen   | raid-sata       | 1213.687    | 1116.7815   | 1105.179   | 92          | 91         |
| cached    | 32  | 512      | xeon    | samsung-990-pro | 2249.1875   | 2087.857    | 2092.777   | 92          | 93         |
| cached    | 32  | 512      | xeon    | wd-sn640        | 2227.362    | 2110.3825   | 2123.8135  | 94          | 95         |
| cached    | 32  | 1024     | ryzen   | nvme            | 1658.5235   | 1526.7465   | 1448.4625  | 92          | 87         |
| cached    | 32  | 1024     | ryzen   | raid-nvme       | 1665.3605   | 1521.0595   | 1455.1715  | 91          | 87         |
