+-----------+---------+-----------------+--------------+-------------+--------------+-------------+------------+
|  caching  | machine |     device      |    master    |   melanie   |    thomas    | melanie_pct | thomas_pct |
+-----------+---------+-----------------+--------------+-------------+--------------+-------------+------------+
| uncached  | 1   | xeon    | wd-sn640        | 360832.59   | 266757.5635 | 211165.688  | 73          | 58         |
| uncached  | 8   | ryzen   | nvme            | 136309.4485 | 61904.185   | 57304.3735  | 45          | 42         |
| uncached  | 8   | ryzen   | raid-nvme       | 92321.294   | 57704.523   | 57011.593   | 62          | 61         |
| uncached  | 8   | ryzen   | raid-sata       | 275325.484  | 157545.972  | 161308.4095 | 57          | 58         |
| uncached  | 8   | xeon    | samsung-990-pro | 145030.229  | 123050.0745 | 126126.8635 | 84          | 86         |
| uncached  | 8   | xeon    | wd-sn640        | 190658.584  | 148113.572  | 142623.809  | 77          | 74         |
| uncached  | 16  | ryzen   | nvme            | 84853.002   | 52715.146   | 51346.225   | 62          | 60         |
| uncached  | 16  | ryzen   | raid-nvme       | 70297.9195  | 48486.351   | 48401.061   | 68          | 68         |
| uncached  | 16  | ryzen   | raid-sata       | 204758.3095 | 114116.2205 | 120843.4755 | 55          | 59         |
| uncached  | 16  | xeon    | samsung-990-pro | 137281.432  | 122543.483  | 123803.6485 | 89          | 90         |
| uncached  | 16  | xeon    | wd-sn640        | 169924.43   | 139050.827  | 135131.47   | 81          | 79         |
| uncached  | 32  | ryzen   | nvme            | 70299.677   | 49889.976   | 49419.4165  | 70          | 70         |
| uncached  | 32  | ryzen   | raid-nvme       | 55856.928   | 44953.9665  | 45051.315   | 80          | 80         |
| uncached  | 32  | ryzen   | raid-sata       | 163257.425  | 87543.2165  | 95076.812   | 53          | 58         |
| uncached  | 32  | xeon    | samsung-990-pro | 135204.936  | 122485.9515 | 122650.448  | 90          | 90         |
| uncached  | 32  | xeon    | wd-sn640        | 155360.024  | 133967.77   | 130618.8355 | 86          | 84         |
+-----------+-----+---------+-----------------+-------------+-------------+-------------+-------------+------------+
+-----------+-----+---------+-----------------+-------------+-------------+-------------+-------------+------------+
|  caching  | ioc | machine |     device      |   master    |   melanie   |   thomas    | melanie_pct | thomas_pct |
+-----------+-----+---------+-----------------+-------------+-------------+-------------+-------------+------------+
| cached    | 1   | ryzen   | nvme            | 14124.0715  | 13445.0085  | 13396.4485  | 95          | 94         |
| cached    | 1   | ryzen   | raid-nvme       | 14152.033   | 13486.825   | 13407.351   | 95          | 94         |
| cached    | 1   | ryzen   | raid-sata       | 14139.516   | 13482.674   | 13445.88    | 95          | 95         |
| cached    | 1   | xeon    | samsung-990-pro | 28403.326   | 27184.2085  | 27310.0615  | 95          | 96         |
| cached    | 1   | xeon    | wd-sn640        | 28326.366   | 27165.5555  | 27248.1265  | 95          | 96         |
| cached    | 8   | ryzen   | nvme            | 14102.7025  | 13365.8145  | 13173.3195  | 94          | 93         |
| cached    | 8   | ryzen   | raid-nvme       | 14116.7585  | 13391.7675  | 13194.4945  | 94          | 93         |
| cached    | 8   | ryzen   | raid-sata       | 14127.2     | 13365.4685  | 13175.188   | 94          | 93         |
| cached    | 8   | xeon    | samsung-990-pro | 28421.693   | 27179.3965  | 27114.2965  | 95          | 95         |
| cached    | 8   | xeon    | wd-sn640        | 28363.24    | 27192.4905  | 27149.4495  | 95          | 95         |
| cached    | 16  | ryzen   | nvme            | 14136.799   | 13336.3565  | 12933.6275  | 94          | 91         |
| cached    | 16  | ryzen   | raid-nvme       | 14125.8425  | 13390.5295  | 12931.895   | 94          | 91         |
| cached    | 16  | ryzen   | raid-sata       | 14138.0045  | 13356.7195  | 12929.5595  | 94          | 91         |
| cached    | 16  | xeon    | samsung-990-pro | 28322.0955  | 27104.2845  | 26677.048   | 95          | 94         |
| cached    | 16  | xeon    | wd-sn640        | 28302.335   | 27170.139   | 26617.2805  | 95          | 94         |
| cached    | 32  | ryzen   | nvme            | 14138.283   | 13377.207   | 12721.3515  | 94          | 89         |
| cached    | 32  | ryzen   | raid-nvme       | 14111.8845  | 13399.723   | 12709.469   | 94          | 90         |
| cached    | 32  | ryzen   | raid-sata       | 14133.2575  | 13390.188   | 12743.5175  | 94          | 90         |
| cached    | 32  | xeon    | samsung-990-pro | 28341.4825  | 27171.287   | 26104.8095  | 95          | 92         |
| cached    | 32  | xeon    | wd-sn640        | 28331.213   | 27134.523   | 26133.64    | 95          | 92         |
| cached-os | 1   | ryzen   | nvme            | 37744.0925  | 37644.457   | 37135.663   | 99          | 98         |
| cached-os | 1   | ryzen   | raid-nvme       | 37714.157   | 37652.795   | 37071.301   | 99          | 98         |
| cached-os | 1   | ryzen   | raid-sata       | 37691.0825  | 37674.6805  | 37167.348   | 99          | 98         |
| cached-os | 1   | xeon    | samsung-990-pro | 111030.347  | 110543.9235 | 108858.043  | 99          | 98         |
| cached-os | 1   | xeon    | wd-sn640        | 111075.5275 | 110886.8955 | 107358.4955 | 99          | 96         |
| cached-os | 8   | ryzen   | nvme            | 37615.77    | 36316.4815  | 36009.543   | 96          | 95         |
| cached-os | 8   | ryzen   | raid-nvme       | 37559.7605  | 36223.2285  | 35914.9015  | 96          | 95         |
| cached-os | 8   | ryzen   | raid-sata       | 37691.446   | 36307.6825  | 35961.81    | 96          | 95         |
| cached-os | 8   | xeon    | samsung-990-pro | 111042.806  | 103033.473  | 102698.2975 | 92          | 92         |
| cached-os | 8   | xeon    | wd-sn640        | 111107.026  | 102963.576  | 101477.376  | 92          | 91         |
| cached-os | 16  | ryzen   | nvme            | 37679.0535  | 35977.2435  | 35723.152   | 95          | 94         |
| cached-os | 16  | ryzen   | raid-nvme       | 37607.431   | 35959.872   | 35625.83    | 95          | 94         |
| cached-os | 16  | ryzen   | raid-sata       | 37687.95    | 36040.262   | 35755.888   | 95          | 94         |
| cached-os | 16  | xeon    | samsung-990-pro | 110949.5585 | 101816.889  | 101703.4835 | 91          | 91         |
| cached-os | 16  | xeon    | wd-sn640        | 111227.4855 | 101759.882  | 100556.156  | 91          | 90         |
| cached-os | 32  | ryzen   | nvme            | 37705.8     | 36020.881   | 35622.2695  | 95          | 94         |
| cached-os | 32  | ryzen   | raid-nvme       | 37585.724   | 35900.862   | 35580.0465  | 95          | 94         |
| cached-os | 32  | ryzen   | raid-sata       | 37663.24    | 36001.507   | 35675.4845  | 95          | 94         |
| cached-os | 32  | xeon    | samsung-990-pro | 110862.537  | 100777.928  | 100573.2795 | 90          | 90         |
| cached-os | 32  | xeon    | wd-sn640        | 111168.1115 | 100671.777  | 99788.5145  | 90          | 89         |
| uncached  | 1   | ryzen   | nvme            | 185720.773  | 175341.9355 | 131926.2985 | 94          | 71         |
| uncached  | 1   | ryzen   | raid-nvme       | 169651.623  | 163616.6245 | 109642.392  | 96          | 64         |
| uncached  | 1   | ryzen   | raid-sata       | 434895.7    | 406751.8385 | 337737.7935 | 93          | 77         |
| uncached  | 1   | xeon    | samsung-990-pro | 242179.065  | 235731.5505 | 217666.743  | 97          | 89         |
| uncached  | 1   | xeon    | wd-sn640        | 270139.2605 | 265664.8235 | 220977.8395 | 98          | 81         |
| uncached  | 8   | ryzen   | nvme            | 184760.153  | 130867.605  | 125483.098  | 70          | 67         |
| uncached  | 8   | ryzen   | raid-nvme       | 169416.167  | 115937.699  | 110374.656  | 68          | 65         |
| uncached  | 8   | ryzen   | raid-sata       | 436401.7585 | 320117.998  | 310357.5245 | 73          | 71         |
| uncached  | 8   | xeon    | samsung-990-pro | 241502.589  | 213875.6745 | 209966.1535 | 88          | 86         |
| uncached  | 8   | xeon    | wd-sn640        | 270429.975  | 209725.238  | 200655.3935 | 77          | 74         |
| uncached  | 16  | ryzen   | nvme            | 185423.6875 | 128242.5535 | 126546.596  | 69          | 68         |
| uncached  | 16  | ryzen   | raid-nvme       | 167530.409  | 113535.3865 | 111452.8505 | 67          | 66         |
| uncached  | 16  | ryzen   | raid-sata       | 435749.1945 | 310066.552  | 307635.509  | 71          | 70         |
| uncached  | 16  | xeon    | samsung-990-pro | 241003.2925 | 211953.276  | 211328.741  | 87          | 87         |
| uncached  | 16  | xeon    | wd-sn640        | 270215.321  | 205634.1435 | 198616.348  | 76          | 73         |
| uncached  | 32  | ryzen   | nvme            | 185260.012  | 131698.7775 | 130083.118  | 71          | 70         |
| uncached  | 32  | ryzen   | raid-nvme       | 168956.912  | 116458.9085 | 114802.865  | 68          | 67         |
| uncached  | 32  | ryzen   | raid-sata       | 436645.3755 | 305011.9305 | 307139.7485 | 69          | 70         |
| uncached  | 32  | xeon    | samsung-990-pro | 242135.7915 | 215445.7055 | 214537.316  | 88          | 88         |
| uncached  | 32  | xeon    | wd-sn640        | 270099.185  | 214065.0335 | 206145.453  | 79          | 76         |
+-----------+-----+---------+-----------------+-------------+-------------+-------------+-------------+------------+
+-----------+-----------+---------+-----------------+-------------+-------------+-------------+-------------+------------+
|  caching  | readahead | machine |     device      |   master    |   melanie   |   thomas    | melanie_pct | thomas_pct |
+-----------+-----------+---------+-----------------+-------------+-------------+-------------+-------------+------------+
| cached    | 256       | ryzen   | nvme            | 18863.1435  | 17856.3325  | 17440.1025  | 94          | 92         |
| cached    | 256       | ryzen   | raid-nvme       | 18829.4305  | 17885.2585  | 17459.653   | 94          | 92         |
| cached    | 256       | ryzen   | raid-sata       | 18862.2835  | 17893.868   | 17460.93    | 94          | 92         |
| cached    | 256       | xeon    | samsung-990-pro | 37819.78    | 36193.6995  | 35805.0025  | 95          | 94         |
| cached    | 256       | xeon    | wd-sn640        | 37759.262   | 36247.1885  | 35723.215   | 95          | 94         |
| cached    | 2048      | ryzen   | nvme            | 18826.967   | 17843.6925  | 17423.105   | 94          | 92         |
| cached    | 2048      | ryzen   | raid-nvme       | 18845.5465  | 17871.13    | 17393.581   | 94          | 92         |
| cached    | 2048      | ryzen   | raid-sata       | 18830.0645  | 17850.5405  | 17422.864   | 94          | 92         |
| cached    | 2048      | xeon    | samsung-990-pro | 37858.261   | 36190.103   | 35700.651   | 95          | 94         |
| cached    | 2048      | xeon    | wd-sn640        | 37772.7365  | 36194.3885  | 35687.374   | 95          | 94         |
| cached    | 8192      | ryzen   | nvme            | 18811.7455  | 17824.3615  | 17361.5395  | 94          | 92         |
| cached    | 8192      | ryzen   | raid-nvme       | 18831.5415  | 17912.4565  | 17389.9755  | 95          | 92         |
| cached    | 8192      | ryzen   | raid-sata       | 18845.63    | 17850.6415  | 17410.351   | 94          | 92         |
| cached    | 8192      | xeon    | samsung-990-pro | 37810.556   | 36255.374   | 35700.562   | 95          | 94         |
